Reference period,Car Sales ($),Truck Sales ($),,
01-Jan-11,338232.00,754462.00,,
01-Feb-11,421859.00,850387.00,,
01-Mar-11,708642.00,1216687.00,,
01-Apr-11,772978.00,1181247.00,,
01-May-11,710447.00,1117651.00,,
01-Jun-11,840322.00,1331974.00,,
01-Jul-11,665611.00,1067098.00,,
01-Aug-11,637117.00,1121371.00,,
01-Sep-11,613704.00,1101793.00,,
01-Oct-11,568321.00,1047170.00,,
01-Nov-11,559768.00,992807.00,,
01-Dec-11,485435.00,956884.00,,
01-Jan-12,453402.00,775075.00,,
01-Feb-12,483740.00,863806.00,,
01-Mar-12,820166.00,1212901.00,,
01-Apr-12,814529.00,1147493.00,,
01-May-12,887512.00,1262033.00,,
01-Jun-12,867916.00,1288312.00,,
01-Jul-12,673313.00,1188880.00,,
01-Aug-12,676995.00,1118512.00,,
01-Sep-12,695260.00,1029633.00,,
01-Oct-12,643789.00,1001430.00,,
01-Nov-12,600100.00,1009571.00,,
01-Dec-12,545718.00,865640.00,,
01-Jan-13,428603.00,733422.00,,
01-Feb-13,468860.00,805018.00,,
01-Mar-13,779401.00,1208914.00,,
01-Apr-13,818614.00,1333876.00,,
01-May-13,933743.00,1400761.00,,
01-Jun-13,852008.00,1402720.00,,
01-Jul-13,742219.00,1268329.00,,
01-Aug-13,764361.00,1239642.00,,
01-Sep-13,714219.00,1216366.00,,
01-Oct-13,693587.00,1162266.00,,
01-Nov-13,638050.00,1130624.00,,
01-Dec-13,528652.00,1041658.00,,
01-Jan-14,411385.00,870865.00,,
01-Feb-14,466067.00,1010209.00,,
01-Mar-14,777206.00,1420136.00,,
01-Apr-14,872174.00,1488375.00,,
01-May-14,952458.00,1711494.00,,
01-Jun-14,904243.00,1543361.00,,
01-Jul-14,812748.00,1518691.00,,
01-Aug-14,770133.00,1528419.00,,
01-Sep-14,751557.00,1524244.00,,
01-Oct-14,741640.00,1393383.00,,
01-Nov-14,657661.00,1316878.00,,
01-Dec-14,599357.00,1375604.00,,
01-Jan-15,408306.00,952776.00,,
01-Feb-15,470927.00,1096822.00,,
01-Mar-15,776452.00,1575248.00,,
01-Apr-15,951062.00,1819277.00,,
01-May-15,984868.00,1971696.00,,
01-Jun-15,817679.00,1940179.00,,
01-Jul-15,764955.00,1786298.00,,
01-Aug-15,737480.00,1835461.00,,
01-Sep-15,746821.00,1834667.00,,
01-Oct-15,703664.00,1747489.00,,
01-Nov-15,630653.00,1639360.00,,
01-Dec-15,541967.00,1633071.00,,
01-Jan-16,420961.00,1294338.00,,
01-Feb-16,488763.00,1405663.00,,
01-Mar-16,748364.00,2018900.00,,
01-Apr-16,909767.00,2267757.00,,
01-May-16,898303.00,2228465.00,,
01-Jun-16,844174.00,2208597.00,,
01-Jul-16,762644.00,1978294.00,,
01-Aug-16,772167.00,2052451.00,,
01-Sep-16,727369.00,2085800.00,,
01-Oct-16,692424.00,1930855.00,,
01-Nov-16,666056.00,2025038.00,,
01-Dec-16,523200.00,1633608.00,,
01-Jan-17,428555.00,1422409.00,,
01-Feb-17,538832.00,1524129.00,,
01-Mar-17,821521.00,2224802.00,,
01-Apr-17,882238.00,2434822.00,,
01-May-17,1058903.00,2532699.00,,
01-Jun-17,920955.00,2535090.00,,
01-Jul-17,794818.00,2161866.00,,
01-Aug-17,802866.00,2202912.00,,
01-Sep-17,820266.00,2361604.00,,
01-Oct-17,699142.00,2146465.00,,
01-Nov-17,686303.00,2142949.00,,
01-Dec-17,544082.00,1798648.00,,
01-Jan-18,445013.00,1578630.00,,
01-Feb-18,544365.00,1798145.00,,
01-Mar-18,816779.00,2619790.00,,
01-Apr-18,859688.00,2608259.00,,
01-May-18,978608.00,2996799.00,,
01-Jun-18,981631.00,2758665.00,,
01-Jul-18,755105.00,2411684.00,,
01-Aug-18,777563.00,2175528.00,,
01-Sep-18,754033.00,2440608.00,,
01-Oct-18,651699.00,2302058.00,,
01-Nov-18,591432.00,2228917.00,,
01-Dec-18,464918.00,1848961.00,,
01-Jan-19,387290.00,1580663.00,,
01-Feb-19,475896.00,1795999.00,,
01-Mar-19,767112.00,2797787.00,,
01-Apr-19,777308.00,2701192.00,,
01-May-19,826346.00,2877609.00,,
01-Jun-19,783855.00,2854827.00,,
01-Jul-19,691493.00,2504999.00,,
01-Aug-19,652974.00,2828458.00,,
01-Sep-19,657736.00,2617468.00,,
01-Oct-19,595968.00,2465581.00,,
01-Nov-19,525973.00,2353050.00,,
01-Dec-19,426702.00,1925141.00,,
01-Jan-20,350713.00,1760004.00,,
01-Feb-20,432370.00,1981386.00,,
01-Mar-20,370858.00,1653745.00,,
01-Apr-20,128442.00,668892.00,,
01-May-20,336518.00,1615401.00,,
01-Jun-20,514862.00,2475847.00,,
01-Jul-20,533542.00,2466189.00,,
01-Aug-20,536568.00,2640658.00,,
01-Sep-20,536701.00,2633610.00,,
01-Oct-20,439284.00,2484322.00,,
01-Nov-20,424393.00,2200901.00,,
01-Dec-20,403725.00,1922134.00,,
01-Jan-21,316985.00,1491232.00,,
01-Feb-21,338667.00,1776585.00,,
01-Mar-21,552435.00,2592343.00,,
01-Apr-21,557249.00,2436199.00,,